Date,Open,High,Low,Close,Volume
2020-01-01,150.75516255739433,151.9504929452933,151.0515388922603,151.16260684427527,57297881.0
2020-01-02,150.90720688405352,152.26781336910767,150.78890169675878,150.8944497433505,107454535.0
2020-01-03,152.4015378003037,152.65137483944713,151.73717083699552,152.40570716170018,155229157.0
2020-01-06,156.44118703754438,155.94134062496528,154.74861890469353,155.9332055082624,184717692.0
2020-01-07,155.65365149149835,156.17687709460125,155.3584208685976,155.43230117539707,165397573.0
2020-01-08,154.92141166690294,155.76142838732076,152.63321395930527,154.93304417561745,176628578.0
2020-01-09,159.03882273046148,159.58141890448377,158.36500978824017,158.64960782248576,123747648.0
2020-01-10,161.1929839355748,160.6287986972215,160.07862422234317,160.52350098697445,75171259.0
2020-01-13,159.7080468454624,160.02450776861016,157.3856306626388,159.4412329564607,86982693.0
2020-01-14,160.791655650443,162.65927645357047,160.44880478085045,160.7866619608815,73100170.0
2020-01-15,159.08865866393884,160.6174018493401,159.2874128791553,159.71722720065583,192407947.0
2020-01-16,158.14242757248036,159.65083314385996,157.4305524160242,158.64936639583973,101659302.0
2020-01-17,159.12692667075015,159.37957901480962,158.68348024391392,159.27276862189325,52627014.0
2020-01-20,154.4665836118709,156.49569215760678,153.28949411095385,154.74954882673651,72713635.0
2020-01-21,150.7074385049244,151.28633152350028,150.58422315138145,150.79201984621577,107542195.0
2020-01-22,149.59084897933357,150.59574223910016,148.76192757849867,149.56543036814088,155966737.0
2020-01-23,147.57216382543623,148.99219031954433,145.53693509262283,147.33803216120535,94510632.0
2020-01-24,148.04542463662256,148.90348826924432,147.02539275444107,148.07674232480116,111739321.0
2020-01-27,146.31754659771732,146.62215175781327,145.2150028585531,146.10430664166356,79225143.0
2020-01-28,143.08065291001432,143.60172633293115,142.9842192916943,143.05298313789035,159516439.0
2020-01-29,145.37419855226892,146.58785221299038,145.78658374569335,146.2408804622308,131232584.0
2020-01-30,145.37865117666988,146.32970664076657,144.33216942546744,145.7894868518096,186865919.0
2020-01-31,145.91779514051444,146.2113044481383,144.424416910145,145.9808972325073,156815286.0
2020-02-03,142.3862873001612,143.2608015051963,142.50540848305363,142.90490122336962,75222396.0
2020-02-04,142.03602351437502,143.7090194907489,140.90456468103724,141.78084830159693,148365416.0
2020-02-05,142.71165513632312,143.2770642546758,141.6283852773945,142.05928303906055,187768713.0
2020-02-06,140.1598585638347,139.86223794361015,138.27486404665814,139.64926098810463,102845243.0
2020-02-07,140.38819284991942,141.53601353988498,139.80725030223837,140.4781450256511,77299045.0
2020-02-10,139.8774109259021,140.4049092846205,136.591751553573,139.2546393343023,92725573.0
2020-02-11,138.7489748917287,139.1286189598088,138.22976244344233,138.6871201072496,134815170.0
2020-02-12,137.3379671893399,139.46689584017008,136.47233891853617,137.47699188528802,170243255.0
2020-02-13,141.07782830816956,141.58446470261106,140.73001954151673,141.33791947696906,125885374.0
2020-02-14,141.22344198944376,142.310221821552,140.8675069556126,141.35170580786456,106178284.0
2020-02-17,138.98942653085788,139.87738569193073,138.83978081639057,139.15147265871386,151347955.0
2020-02-18,140.9821332355194,142.138415480445,139.46826641687886,140.91009313821783,141296905.0
2020-02-19,138.4385850739583,139.24064042753528,137.8015101284716,138.37192827979,58828325.0
2020-02-20,138.8482215259466,139.258504097718,137.9202528377394,138.84695273409778,124036280.0
2020-02-21,134.98390066906276,136.32303780436942,132.45173783724974,134.80719344394663,162842822.0
2020-02-24,132.63397431968858,132.1784132871579,131.55870556422457,132.16190009762877,95110158.0
2020-02-25,132.96952130268787,133.54888851561313,131.97589830795062,132.5918119924785,52241105.0
